id,name,key,place_id,code,alt_names,country_id,state_id,part_id,county_id,muni_id,metro_id,pop,area,created_at,updated_at
1,Bujumbura,bujumbura,12,,,1,,,,,,,,2018-07-17 10:56:50.865279,2018-07-17 10:56:50.865279
2,Moroni,moroni,14,,,2,,,,,,,,2018-07-17 10:56:50.912112,2018-07-17 10:56:50.912112
3,Djibouti,djibouti,16,,,3,,,,,,,,2018-07-17 10:56:50.918354,2018-07-17 10:56:50.918354
4,Asmara,asmara,18,,,4,,,,,,,,2018-07-17 10:56:50.924341,2018-07-17 10:56:50.924341
5,Addis Ababa,addisababa,20,,,5,,,,,,,,2018-07-17 10:56:50.932903,2018-07-17 10:56:50.932903
6,Nairobi,nairobi,22,,,6,,,,,,,,2018-07-17 10:56:50.939656,2018-07-17 10:56:50.939656
7,Antananarivo,antananarivo,24,,,7,,,,,,,,2018-07-17 10:56:50.945599,2018-07-17 10:56:50.945599
8,Lilongwe,lilongwe,26,,,8,,,,,,,,2018-07-17 10:56:50.951511,2018-07-17 10:56:50.951511
9,Port Louis,portlouis,28,,,9,,,,,,,,2018-07-17 10:56:50.957425,2018-07-17 10:56:50.957425
10,Maputo,maputo,30,,,10,,,,,,,,2018-07-17 10:56:50.966545,2018-07-17 10:56:50.966545
11,Kigali,kigali,32,,,11,,,,,,,,2018-07-17 10:56:50.973018,2018-07-17 10:56:50.973018
12,Victoria,victoria,34,,,12,,,,,,,,2018-07-17 10:56:50.979055,2018-07-17 10:56:50.979055
13,Mogadishu,mogadishu,36,,,13,,,,,,,,2018-07-17 10:56:50.984988,2018-07-17 10:56:50.984988
14,Dodoma,dodoma,38,,,14,,,,,,,,2018-07-17 10:56:50.991283,2018-07-17 10:56:50.991283
15,Kampala,kampala,40,,,15,,,,,,,,2018-07-17 10:56:51.000589,2018-07-17 10:56:51.000589
16,Lusaka,lusaka,42,,,16,,,,,,,,2018-07-17 10:56:51.006686,2018-07-17 10:56:51.006686
17,Harare,harare,44,,,17,,,,,,,,2018-07-17 10:56:51.012834,2018-07-17 10:56:51.012834
18,Luanda,luanda,46,,,18,,,,,,,,2018-07-17 10:56:51.018916,2018-07-17 10:56:51.018916
19,Yaoundé,yaounde,48,,,19,,,,,,,,2018-07-17 10:56:51.025906,2018-07-17 10:56:51.025906
20,Bangui,bangui,50,,,20,,,,,,,,2018-07-17 10:56:51.034306,2018-07-17 10:56:51.034306
21,N'Djamena,ndjamena,52,,,21,,,,,,,,2018-07-17 10:56:51.040259,2018-07-17 10:56:51.040259
