id,name,slug,key,place_id,alt_names,created_at,updated_at
1,Europe,europe,eu,1,,2018-07-17 10:56:50.796523,2018-07-17 10:56:50.796523
2,South America,south-america,sa,2,,2018-07-17 10:56:50.804704,2018-07-17 10:56:50.804704
3,North America,north-america,na,3,,2018-07-17 10:56:50.807531,2018-07-17 10:56:50.807531
4,Central America,central-america,ca,4,,2018-07-17 10:56:50.809984,2018-07-17 10:56:50.809984
5,Caribbean,caribbean,ci,5,,2018-07-17 10:56:50.811574,2018-07-17 10:56:50.811574
6,Africa,africa,af,6,,2018-07-17 10:56:50.813012,2018-07-17 10:56:50.813012
7,Middle East,middle-east,me,7,,2018-07-17 10:56:50.814459,2018-07-17 10:56:50.814459
8,Asia,asia,as,8,,2018-07-17 10:56:50.815971,2018-07-17 10:56:50.815971
9,Pacific,pacific,pa,9,,2018-07-17 10:56:50.817379,2018-07-17 10:56:50.817379
10,Antarctica,antarctica,aq,10,,2018-07-17 10:56:50.818791,2018-07-17 10:56:50.818791
