id,key,round_id,pos,group_id,team1_id,team2_id,play_at,postponed,play_at_v2,play_at_v3,ground_id,city_id,knockout,home,score1,score2,score1et,score2et,score1p,score2p,score1i,score2i,score1ii,score2ii,next_game_id,prev_game_id,winner,winner90,created_at,updated_at
1,,1,1,1,131,190,1930-07-13 12:00:00,f,,,,,f,t,4,1,,,,,,,,,,,1,1,2018-07-17 10:56:56.447931,2018-07-17 10:56:56.447931
2,,3,5,1,210,131,1930-07-15 12:00:00,f,,,,,f,t,1,0,,,,,,,,,,,1,1,2018-07-17 10:56:56.492744,2018-07-17 10:56:56.492744
3,,4,6,1,212,190,1930-07-16 12:00:00,f,,,,,f,t,3,0,,,,,,,,,,,1,1,2018-07-17 10:56:56.501888,2018-07-17 10:56:56.501888
4,,7,10,1,212,131,1930-07-19 12:00:00,f,,,,,f,t,1,0,,,,,,,,,,,1,1,2018-07-17 10:56:56.515146,2018-07-17 10:56:56.515146
5,,7,11,1,210,190,1930-07-19 12:00:00,f,,,,,f,t,6,3,,,,,,,,,,,1,1,2018-07-17 10:56:56.527779,2018-07-17 10:56:56.527779
6,,10,15,1,210,212,1930-07-22 12:00:00,f,,,,,f,t,3,1,,,,,,,,,,,1,1,2018-07-17 10:56:56.558472,2018-07-17 10:56:56.558472
7,,2,3,2,227,211,1930-07-14 12:00:00,f,,,,,f,t,2,1,,,,,,,,,,,1,1,2018-07-17 10:56:56.572610,2018-07-17 10:56:56.572610
8,,5,7,2,227,219,1930-07-17 12:00:00,f,,,,,f,t,4,0,,,,,,,,,,,1,1,2018-07-17 10:56:56.596960,2018-07-17 10:56:56.596960
9,,8,12,2,211,219,1930-07-20 12:00:00,f,,,,,f,t,4,0,,,,,,,,,,,1,1,2018-07-17 10:56:56.612208,2018-07-17 10:56:56.612208
10,,2,4,3,146,217,1930-07-14 12:00:00,f,,,,,f,t,3,1,,,,,,,,,,,1,1,2018-07-17 10:56:56.630191,2018-07-17 10:56:56.630191
