id,person_id,game_id,team_id,minute,offset,score1,score2,penalty,owngoal,created_at,updated_at
1,1,1,131,19,0,1,0,f,f,2018-07-17 10:56:56.475849,2018-07-17 10:56:56.475849
2,2,1,131,40,0,2,0,f,f,2018-07-17 10:56:56.478858,2018-07-17 10:56:56.478858
3,3,1,131,43,0,3,0,f,f,2018-07-17 10:56:56.481403,2018-07-17 10:56:56.481403
4,4,1,190,70,0,3,1,f,f,2018-07-17 10:56:56.484055,2018-07-17 10:56:56.484055
5,3,1,131,87,0,4,1,f,f,2018-07-17 10:56:56.485885,2018-07-17 10:56:56.485885
6,5,2,210,81,0,1,0,f,f,2018-07-17 10:56:56.497825,2018-07-17 10:56:56.497825
7,6,3,212,3,0,1,0,f,f,2018-07-17 10:56:56.507584,2018-07-17 10:56:56.507584
8,7,3,212,51,0,2,0,f,t,2018-07-17 10:56:56.510013,2018-07-17 10:56:56.510013
9,6,3,212,65,0,3,0,f,f,2018-07-17 10:56:56.511222,2018-07-17 10:56:56.511222
10,8,4,212,65,0,1,0,f,f,2018-07-17 10:56:56.522130,2018-07-17 10:56:56.522130
11,9,5,210,8,0,1,0,f,f,2018-07-17 10:56:56.536825,2018-07-17 10:56:56.536825
12,10,5,210,12,0,2,0,f,f,2018-07-17 10:56:56.539487,2018-07-17 10:56:56.539487
13,9,5,210,17,0,3,0,f,f,2018-07-17 10:56:56.540714,2018-07-17 10:56:56.540714
14,7,5,190,42,0,3,1,t,f,2018-07-17 10:56:56.541887,2018-07-17 10:56:56.541887
15,11,5,210,53,0,4,1,f,f,2018-07-17 10:56:56.544574,2018-07-17 10:56:56.544574
16,10,5,210,55,0,5,1,f,f,2018-07-17 10:56:56.545810,2018-07-17 10:56:56.545810
17,7,5,190,65,0,5,2,f,f,2018-07-17 10:56:56.547073,2018-07-17 10:56:56.547073
18,12,5,190,75,0,5,3,f,f,2018-07-17 10:56:56.549900,2018-07-17 10:56:56.549900
19,9,5,210,80,0,6,3,f,f,2018-07-17 10:56:56.551865,2018-07-17 10:56:56.551865
20,9,6,210,12,0,1,0,f,f,2018-07-17 10:56:56.563782,2018-07-17 10:56:56.563782
21,9,6,210,13,0,2,0,f,f,2018-07-17 10:56:56.565039,2018-07-17 10:56:56.565039
22,8,6,212,15,0,2,1,f,f,2018-07-17 10:56:56.566127,2018-07-17 10:56:56.566127
23,13,6,210,81,0,3,1,f,f,2018-07-17 10:56:56.568576,2018-07-17 10:56:56.568576
24,14,7,227,21,0,1,0,f,f,2018-07-17 10:56:56.583699,2018-07-17 10:56:56.583699
25,15,7,227,30,0,2,0,f,f,2018-07-17 10:56:56.588202,2018-07-17 10:56:56.588202
26,16,7,211,62,0,2,1,f,f,2018-07-17 10:56:56.592274,2018-07-17 10:56:56.592274
27,15,8,227,60,0,1,0,f,f,2018-07-17 10:56:56.601971,2018-07-17 10:56:56.601971
28,17,8,227,65,0,2,0,f,f,2018-07-17 10:56:56.604670,2018-07-17 10:56:56.604670
29,15,8,227,67,0,3,0,f,f,2018-07-17 10:56:56.605807,2018-07-17 10:56:56.605807
30,18,8,227,85,0,4,0,f,f,2018-07-17 10:56:56.608234,2018-07-17 10:56:56.608234
31,19,9,211,37,0,1,0,f,f,2018-07-17 10:56:56.620461,2018-07-17 10:56:56.620461
32,16,9,211,57,0,2,0,f,f,2018-07-17 10:56:56.622642,2018-07-17 10:56:56.622642
33,19,9,211,73,0,3,0,f,f,2018-07-17 10:56:56.624439,2018-07-17 10:56:56.624439
34,16,9,211,83,0,4,0,f,f,2018-07-17 10:56:56.625803,2018-07-17 10:56:56.625803
35,20,10,146,1,0,1,0,f,f,2018-07-17 10:56:56.636649,2018-07-17 10:56:56.636649
36,21,10,217,75,0,1,1,f,f,2018-07-17 10:56:56.639148,2018-07-17 10:56:56.639148
37,22,10,146,79,0,2,1,f,f,2018-07-17 10:56:56.641540,2018-07-17 10:56:56.641540
38,23,10,146,89,0,3,1,f,f,2018-07-17 10:56:56.643975,2018-07-17 10:56:56.643975
39,24,11,214,60,0,1,0,f,f,2018-07-17 10:56:56.656064,2018-07-17 10:56:56.656064
40,25,12,214,7,0,1,0,f,f,2018-07-17 10:56:56.667203,2018-07-17 10:56:56.667203
41,26,12,214,24,0,2,0,f,f,2018-07-17 10:56:56.669728,2018-07-17 10:56:56.669728
42,27,12,214,30,0,3,0,f,f,2018-07-17 10:56:56.672228,2018-07-17 10:56:56.672228
43,28,12,214,35,0,4,0,f,f,2018-07-17 10:56:56.674744,2018-07-17 10:56:56.674744
44,29,13,191,23,0,1,0,f,f,2018-07-17 10:56:56.687655,2018-07-17 10:56:56.687655
45,30,13,191,45,0,2,0,f,f,2018-07-17 10:56:56.691056,2018-07-17 10:56:56.691056
46,31,13,191,69,0,3,0,f,f,2018-07-17 10:56:56.693634,2018-07-17 10:56:56.693634
47,31,14,191,10,0,1,0,f,f,2018-07-17 10:56:56.702135,2018-07-17 10:56:56.702135
48,31,14,191,15,0,2,0,f,f,2018-07-17 10:56:56.703395,2018-07-17 10:56:56.703395
49,31,14,191,50,0,3,0,f,f,2018-07-17 10:56:56.704569,2018-07-17 10:56:56.704569
50,32,15,213,40,0,1,0,f,f,2018-07-17 10:56:56.713533,2018-07-17 10:56:56.713533
51,5,16,210,20,0,1,0,f,f,2018-07-17 10:56:56.727276,2018-07-17 10:56:56.727276
52,33,16,210,56,0,2,0,f,f,2018-07-17 10:56:56.729924,2018-07-17 10:56:56.729924
53,9,16,210,69,0,3,0,f,f,2018-07-17 10:56:56.731125,2018-07-17 10:56:56.731125
54,34,16,210,80,0,4,0,f,f,2018-07-17 10:56:56.733794,2018-07-17 10:56:56.733794
55,34,16,210,85,0,5,0,f,f,2018-07-17 10:56:56.734983,2018-07-17 10:56:56.734983
56,9,16,210,87,0,6,0,f,f,2018-07-17 10:56:56.736202,2018-07-17 10:56:56.736202
57,35,16,191,89,0,6,1,f,f,2018-07-17 10:56:56.738753,2018-07-17 10:56:56.738753
58,18,17,227,4,0,0,1,f,f,2018-07-17 10:56:56.749065,2018-07-17 10:56:56.749065
59,28,17,214,18,0,1,1,f,f,2018-07-17 10:56:56.751193,2018-07-17 10:56:56.751193
60,27,17,214,20,0,2,1,f,f,2018-07-17 10:56:56.753195,2018-07-17 10:56:56.753195
61,27,17,214,31,0,3,1,f,f,2018-07-17 10:56:56.755085,2018-07-17 10:56:56.755085
62,36,17,214,61,0,4,1,f,f,2018-07-17 10:56:56.757755,2018-07-17 10:56:56.757755
63,28,17,214,67,0,5,1,f,f,2018-07-17 10:56:56.758971,2018-07-17 10:56:56.758971
64,28,17,214,72,0,6,1,f,f,2018-07-17 10:56:56.760113,2018-07-17 10:56:56.760113
65,25,18,214,12,0,1,0,f,f,2018-07-17 10:56:56.770311,2018-07-17 10:56:56.770311
66,34,18,210,20,0,1,1,f,f,2018-07-17 10:56:56.771561,2018-07-17 10:56:56.771561
67,9,18,210,37,0,1,2,f,f,2018-07-17 10:56:56.772732,2018-07-17 10:56:56.772732
68,28,18,214,57,0,2,2,f,f,2018-07-17 10:56:56.773887,2018-07-17 10:56:56.773887
69,36,18,214,68,0,3,2,f,f,2018-07-17 10:56:56.775022,2018-07-17 10:56:56.775022
70,24,18,214,89,0,4,2,f,f,2018-07-17 10:56:56.776190,2018-07-17 10:56:56.776190
71,278,19,210,4,0,0,1,f,f,2018-07-17 10:56:57.414189,2018-07-17 10:56:57.414189
72,279,19,147,9,0,1,1,f,f,2018-07-17 10:56:57.418612,2018-07-17 10:56:57.418612
73,280,19,210,48,0,1,2,f,f,2018-07-17 10:56:57.423801,2018-07-17 10:56:57.423801
74,279,19,147,67,0,2,2,f,f,2018-07-17 10:56:57.425432,2018-07-17 10:56:57.425432
75,281,19,147,79,0,3,2,f,f,2018-07-17 10:56:57.428389,2018-07-17 10:56:57.428389
76,282,20,131,18,0,0,1,f,f,2018-07-17 10:56:57.439744,2018-07-17 10:56:57.439744
77,283,20,124,44,0,1,1,f,f,2018-07-17 10:56:57.442336,2018-07-17 10:56:57.442336
78,284,20,124,93,0,2,1,f,f,2018-07-17 10:56:57.449073,2018-07-17 10:56:57.449073
79,285,20,124,109,0,3,1,f,f,2018-07-17 10:56:57.454326,2018-07-17 10:56:57.454326
80,286,20,131,116,0,3,2,t,f,2018-07-17 10:56:57.458271,2018-07-17 10:56:57.458271
81,287,21,127,25,0,1,0,f,f,2018-07-17 10:56:57.470621,2018-07-17 10:56:57.470621
82,74,21,125,29,0,1,1,f,f,2018-07-17 10:56:57.472204,2018-07-17 10:56:57.472204
83,74,21,125,43,0,1,2,f,f,2018-07-17 10:56:57.473751,2018-07-17 10:56:57.473751
84,288,21,127,49,0,2,2,f,f,2018-07-17 10:56:57.476479,2018-07-17 10:56:57.476479
85,289,21,127,66,0,3,2,f,f,2018-07-17 10:56:57.479296,2018-07-17 10:56:57.479296
86,289,21,127,70,0,4,2,f,f,2018-07-17 10:56:57.481275,2018-07-17 10:56:57.481275
87,289,21,127,87,0,5,2,f,f,2018-07-17 10:56:57.483168,2018-07-17 10:56:57.483168
88,290,22,129,18,0,1,0,t,f,2018-07-17 10:56:57.496178,2018-07-17 10:56:57.496178
89,290,22,129,25,0,2,0,f,f,2018-07-17 10:56:57.497449,2018-07-17 10:56:57.497449
90,291,22,129,29,0,3,0,f,f,2018-07-17 10:56:57.500252,2018-07-17 10:56:57.500252
91,292,22,211,55,0,3,1,f,f,2018-07-17 10:56:57.502957,2018-07-17 10:56:57.502957
92,293,23,149,11,0,1,0,f,f,2018-07-17 10:56:57.515702,2018-07-17 10:56:57.515702
93,294,23,149,27,0,2,0,f,f,2018-07-17 10:56:57.520822,2018-07-17 10:56:57.520822
94,295,23,2,31,0,2,1,f,f,2018-07-17 10:56:57.524439,2018-07-17 10:56:57.524439
95,295,23,2,39,0,2,2,f,f,2018-07-17 10:56:57.525700,2018-07-17 10:56:57.525700
96,296,23,149,53,0,3,2,f,f,2018-07-17 10:56:57.528530,2018-07-17 10:56:57.528530
97,294,23,149,61,0,4,2,f,f,2018-07-17 10:56:57.529852,2018-07-17 10:56:57.529852
98,297,24,153,7,0,1,0,f,f,2018-07-17 10:56:57.541084,2018-07-17 10:56:57.541084
99,298,24,137,19,0,1,1,f,f,2018-07-17 10:56:57.543910,2018-07-17 10:56:57.543910
100,297,24,153,43,0,2,1,f,f,2018-07-17 10:56:57.545392,2018-07-17 10:56:57.545392
101,299,24,153,69,0,3,1,f,f,2018-07-17 10:56:57.549631,2018-07-17 10:56:57.549631
102,300,24,137,84,0,3,2,f,f,2018-07-17 10:56:57.554482,2018-07-17 10:56:57.554482
103,301,25,134,18,0,1,0,f,f,2018-07-17 10:56:57.568134,2018-07-17 10:56:57.568134
104,302,25,134,20,0,2,0,f,f,2018-07-17 10:56:57.570914,2018-07-17 10:56:57.570914
105,301,25,134,29,0,3,0,f,f,2018-07-17 10:56:57.572208,2018-07-17 10:56:57.572208
106,303,25,191,57,0,3,1,f,f,2018-07-17 10:56:57.574924,2018-07-17 10:56:57.574924
