id,event_id,title,pos,created_at,updated_at
1,1,Group 1,1,2018-07-17 10:56:56.358606,2018-07-17 10:56:56.358606
2,1,Group 2,2,2018-07-17 10:56:56.378771,2018-07-17 10:56:56.378771
3,1,Group 3,3,2018-07-17 10:56:56.388530,2018-07-17 10:56:56.388530
4,1,Group 4,4,2018-07-17 10:56:56.394635,2018-07-17 10:56:56.394635
5,4,Group 1,1,2018-07-17 10:56:58.181426,2018-07-17 10:56:58.181426
6,4,Group 2,2,2018-07-17 10:56:58.189493,2018-07-17 10:56:58.189493
7,4,Group 3,3,2018-07-17 10:56:58.197317,2018-07-17 10:56:58.197317
8,4,Group 4,4,2018-07-17 10:56:58.207804,2018-07-17 10:56:58.207804
9,4,Group F,6,2018-07-17 10:56:58.644620,2018-07-17 10:56:58.644620
10,5,Group 1,1,2018-07-17 10:56:58.812208,2018-07-17 10:56:58.812208
11,5,Group 2,2,2018-07-17 10:56:58.820310,2018-07-17 10:56:58.820310
12,5,Group 3,3,2018-07-17 10:56:58.832144,2018-07-17 10:56:58.832144
13,5,Group 4,4,2018-07-17 10:56:58.840747,2018-07-17 10:56:58.840747
14,6,Group 1,1,2018-07-17 10:56:59.120847,2018-07-17 10:56:59.120847
15,6,Group 2,2,2018-07-17 10:56:59.131589,2018-07-17 10:56:59.131589
16,6,Group 3,3,2018-07-17 10:56:59.139875,2018-07-17 10:56:59.139875
17,6,Group 4,4,2018-07-17 10:56:59.148110,2018-07-17 10:56:59.148110
18,7,Group 1,1,2018-07-17 10:56:59.519345,2018-07-17 10:56:59.519345
19,7,Group 2,2,2018-07-17 10:56:59.528008,2018-07-17 10:56:59.528008
20,7,Group 3,3,2018-07-17 10:56:59.536502,2018-07-17 10:56:59.536502
21,7,Group 4,4,2018-07-17 10:56:59.546876,2018-07-17 10:56:59.546876
22,8,Group 1,1,2018-07-17 10:57:00.007344,2018-07-17 10:57:00.007344
23,8,Group 2,2,2018-07-17 10:57:00.017223,2018-07-17 10:57:00.017223
24,8,Group 3,3,2018-07-17 10:57:00.028733,2018-07-17 10:57:00.028733
25,8,Group 4,4,2018-07-17 10:57:00.039141,2018-07-17 10:57:00.039141
26,9,Group 1,1,2018-07-17 10:57:00.566766,2018-07-17 10:57:00.566766
27,9,Group 2,2,2018-07-17 10:57:00.578517,2018-07-17 10:57:00.578517
28,9,Group 3,3,2018-07-17 10:57:00.586669,2018-07-17 10:57:00.586669
29,9,Group 4,4,2018-07-17 10:57:00.594412,2018-07-17 10:57:00.594412
30,10,Group 1,1,2018-07-17 10:57:01.175388,2018-07-17 10:57:01.175388
31,10,Group 2,2,2018-07-17 10:57:01.186105,2018-07-17 10:57:01.186105
32,10,Group 3,3,2018-07-17 10:57:01.193924,2018-07-17 10:57:01.193924
33,10,Group 4,4,2018-07-17 10:57:01.202194,2018-07-17 10:57:01.202194
34,10,Group I,9,2018-07-17 10:57:01.719752,2018-07-17 10:57:01.719752
35,10,Group J,10,2018-07-17 10:57:01.728302,2018-07-17 10:57:01.728302
36,11,Group 1,1,2018-07-17 10:57:02.056420,2018-07-17 10:57:02.056420
37,11,Group 2,2,2018-07-17 10:57:02.066582,2018-07-17 10:57:02.066582
38,11,Group 3,3,2018-07-17 10:57:02.077200,2018-07-17 10:57:02.077200
39,11,Group 4,4,2018-07-17 10:57:02.085121,2018-07-17 10:57:02.085121
40,11,Group I,9,2018-07-17 10:57:02.679697,2018-07-17 10:57:02.679697
41,11,Group J,10,2018-07-17 10:57:02.687775,2018-07-17 10:57:02.687775
42,12,Group 1,1,2018-07-17 10:57:02.988012,2018-07-17 10:57:02.988012
43,12,Group 2,2,2018-07-17 10:57:02.996581,2018-07-17 10:57:02.996581
44,12,Group 3,3,2018-07-17 10:57:03.006480,2018-07-17 10:57:03.006480
45,12,Group 4,4,2018-07-17 10:57:03.016516,2018-07-17 10:57:03.016516
46,12,Group 5,5,2018-07-17 10:57:03.026806,2018-07-17 10:57:03.026806
47,12,Group 6,6,2018-07-17 10:57:03.035156,2018-07-17 10:57:03.035156
48,12,Group I,9,2018-07-17 10:57:04.225600,2018-07-17 10:57:04.225600
49,12,Group J,10,2018-07-17 10:57:04.232917,2018-07-17 10:57:04.232917
50,12,Group K,11,2018-07-17 10:57:04.240199,2018-07-17 10:57:04.240199
51,12,Group L,12,2018-07-17 10:57:04.249942,2018-07-17 10:57:04.249942
52,13,Group A,1,2018-07-17 10:57:04.900690,2018-07-17 10:57:04.900690
53,13,Group B,2,2018-07-17 10:57:04.908879,2018-07-17 10:57:04.908879
