id,group_id,team_id,created_at,updated_at
1,1,210,2018-07-17 10:56:56.373001,2018-07-17 10:56:56.373001
2,1,212,2018-07-17 10:56:56.374456,2018-07-17 10:56:56.374456
3,1,131,2018-07-17 10:56:56.375628,2018-07-17 10:56:56.375628
4,1,190,2018-07-17 10:56:56.376849,2018-07-17 10:56:56.376849
5,2,227,2018-07-17 10:56:56.383430,2018-07-17 10:56:56.383430
6,2,211,2018-07-17 10:56:56.385488,2018-07-17 10:56:56.385488
7,2,219,2018-07-17 10:56:56.387124,2018-07-17 10:56:56.387124
8,3,214,2018-07-17 10:56:56.391016,2018-07-17 10:56:56.391016
9,3,146,2018-07-17 10:56:56.392219,2018-07-17 10:56:56.392219
10,3,217,2018-07-17 10:56:56.393355,2018-07-17 10:56:56.393355
11,4,191,2018-07-17 10:56:56.397029,2018-07-17 10:56:56.397029
12,4,213,2018-07-17 10:56:56.398348,2018-07-17 10:56:56.398348
13,4,125,2018-07-17 10:56:56.399536,2018-07-17 10:56:56.399536
14,5,211,2018-07-17 10:56:58.184210,2018-07-17 10:56:58.184210
15,5,190,2018-07-17 10:56:58.185475,2018-07-17 10:56:58.185475
16,5,153,2018-07-17 10:56:58.186709,2018-07-17 10:56:58.186709
17,5,227,2018-07-17 10:56:58.187936,2018-07-17 10:56:58.187936
18,6,170,2018-07-17 10:56:58.192083,2018-07-17 10:56:58.192083
19,6,212,2018-07-17 10:56:58.193315,2018-07-17 10:56:58.193315
20,6,129,2018-07-17 10:56:58.194564,2018-07-17 10:56:58.194564
21,6,191,2018-07-17 10:56:58.195795,2018-07-17 10:56:58.195795
22,7,134,2018-07-17 10:56:58.201068,2018-07-17 10:56:58.201068
23,7,213,2018-07-17 10:56:58.203432,2018-07-17 10:56:58.203432
24,7,147,2018-07-17 10:56:58.205683,2018-07-17 10:56:58.205683
25,8,214,2018-07-17 10:56:58.210446,2018-07-17 10:56:58.210446
26,8,219,2018-07-17 10:56:58.211760,2018-07-17 10:56:58.211760
27,9,214,2018-07-17 10:56:58.647251,2018-07-17 10:56:58.647251
28,9,211,2018-07-17 10:56:58.648618,2018-07-17 10:56:58.648618
29,9,147,2018-07-17 10:56:58.649853,2018-07-17 10:56:58.649853
30,9,129,2018-07-17 10:56:58.651072,2018-07-17 10:56:58.651072
31,10,211,2018-07-17 10:56:58.815003,2018-07-17 10:56:58.815003
32,10,227,2018-07-17 10:56:58.816306,2018-07-17 10:56:58.816306
33,10,131,2018-07-17 10:56:58.817518,2018-07-17 10:56:58.817518
34,10,190,2018-07-17 10:56:58.818687,2018-07-17 10:56:58.818687
35,11,149,2018-07-17 10:56:58.822989,2018-07-17 10:56:58.822989
36,11,224,2018-07-17 10:56:58.824997,2018-07-17 10:56:58.824997
37,11,157,2018-07-17 10:56:58.827020,2018-07-17 10:56:58.827020
38,11,74,2018-07-17 10:56:58.829367,2018-07-17 10:56:58.829367
39,12,214,2018-07-17 10:56:58.835272,2018-07-17 10:56:58.835272
40,12,124,2018-07-17 10:56:58.836602,2018-07-17 10:56:58.836602
41,12,223,2018-07-17 10:56:58.837818,2018-07-17 10:56:58.837818
42,12,171,2018-07-17 10:56:58.839017,2018-07-17 10:56:58.839017
43,13,170,2018-07-17 10:56:58.843252,2018-07-17 10:56:58.843252
44,13,153,2018-07-17 10:56:58.844454,2018-07-17 10:56:58.844454
