id,msg,level,app,tag,pid,tid,ts,created_at,updated_at
1,hash reader - found implicit bool (no) for key; adding quotes to turn into string; see yaml.org/refcard.html (path=),warn,,,12355,10744040,2018-07-17 12:56:52 +0200,2018-07-17 10:56:52.865016,2018-07-17 10:56:52.865016
2,no country match found for >Bonaire<; skipping line; in [1-codes/fifa],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.491946,2018-07-17 10:56:53.491946
3,no country match found for >Kosovo<; skipping line; in [1-codes/fifa],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.504284,2018-07-17 10:56:53.504284
4,no country match found for >Zanzibar<; skipping line; in [1-codes/fifa],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.509706,2018-07-17 10:56:53.509706
5,no country match found for >Saint-Martin<; skipping line; in [1-codes/fifa],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.515930,2018-07-17 10:56:53.515930
6,no country match found for >Ashmore and Cartier Islands (AU)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.551412,2018-07-17 10:56:53.551412
7,no country match found for >Akrotiri (UK)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.560302,2018-07-17 10:56:53.560302
8,no country match found for >Burma<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.582234,2018-07-17 10:56:53.582234
9,no country match found for >Navassa Island (US)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.591769,2018-07-17 10:56:53.591769
10,no country match found for >Bassas da India (FR)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.596996,2018-07-17 10:56:53.596996
11,no country match found for >Cocos (Keeling) Islands (AU)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.625433,2018-07-17 10:56:53.625433
12,no country match found for >Coral Sea Islands (AU)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.639277,2018-07-17 10:56:53.639277
13,no country match found for >Jarvis Island (US)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.663508,2018-07-17 10:56:53.663508
14,no country match found for >Dhekelia (UK)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.667982,2018-07-17 10:56:53.667982
15,no country match found for >Europa Island (FR)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.686783,2018-07-17 10:56:53.686783
16,no country match found for >French Polynesia (FR)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.705689,2018-07-17 10:56:53.705689
17,no country match found for >Baker Island (US)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.707756,2018-07-17 10:56:53.707756
18,no country match found for >Glorioso Islands (FR)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.735502,2018-07-17 10:56:53.735502
19,no country match found for >Gaza Strip (PS)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.748921,2018-07-17 10:56:53.748921
20,no country match found for >Howland Island (US)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.762925,2018-07-17 10:56:53.762925
21,no country match found for >Clipperton Island (FR)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.778200,2018-07-17 10:56:53.778200
22,no country match found for >Jan Mayen (NO)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.799835,2018-07-17 10:56:53.799835
23,no country match found for >Johnston Atoll (US)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.803854,2018-07-17 10:56:53.803854
24,no country match found for >Juan de Nova Island (FR)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.805882,2018-07-17 10:56:53.805882
25,no country match found for >Kingman Reef (US)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.813552,2018-07-17 10:56:53.813552
26,no country match found for >Kosovo<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.827752,2018-07-17 10:56:53.827752
27,no country match found for >Palmyra Atoll (US)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.842801,2018-07-17 10:56:53.842801
28,no country match found for >Midway Islands (US)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.879720,2018-07-17 10:56:53.879720
29,no country match found for >Paracel Islands (CN)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.928977,2018-07-17 10:56:53.928977
30,no country match found for >Spratly Islands<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.930923,2018-07-17 10:56:53.930923
31,no country match found for >South Kuril Islands (RU)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:53 +0200,2018-07-17 10:56:53.932758,2018-07-17 10:56:53.932758
32,no country match found for >Svalbard (NO)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.005360,2018-07-17 10:56:54.005360
33,no country match found for >South Georgia and South Sandwich Islands (UK)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.009325,2018-07-17 10:56:54.009325
34,no country match found for >Saint Barthelemy (FR)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.015020,2018-07-17 10:56:54.015020
35,no country match found for >Tromelin Island (FR)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.020450,2018-07-17 10:56:54.020450
36,no country match found for >Sao Tome and Principe<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.034964,2018-07-17 10:56:54.034964
37,no country match found for >West Bank<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.085154,2018-07-17 10:56:54.085154
38,no country match found for >Western Sahara (MA)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.089192,2018-07-17 10:56:54.089192
39,no country match found for >Wake Island (US)<; skipping line; in [1-codes/fips],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.091235,2018-07-17 10:56:54.091235
40,no country match found for >Ascension Island<; skipping line; in [1-codes/internet],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.105442,2018-07-17 10:56:54.105442
41,no country match found for >Netherlands Antilles (NL)<; skipping line; in [1-codes/internet],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.122053,2018-07-17 10:56:54.122053
42,no country match found for >Cocos (Keeling) Islands (AU)<; skipping line; in [1-codes/internet],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.178256,2018-07-17 10:56:54.178256
43,no country match found for >French Polynesia<; skipping line; in [1-codes/internet],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.429716,2018-07-17 10:56:54.429716
44,no country match found for >Saint-Pierre and Miquelon<; skipping line; in [1-codes/internet],warn,,,12355,10744040,2018-07-17 12:56:54 +0200,2018-07-17 10:56:54.438299,2018-07-17 10:56:54.438299
