id,name,place_id,place_kind,lang,created_at,updated_at
1,Bujumbura,12,CITY,en,2018-07-17 10:56:50.874042,2018-07-17 10:56:50.874042
2,Moroni,14,CITY,en,2018-07-17 10:56:50.912935,2018-07-17 10:56:50.912935
3,Djibouti,16,CITY,en,2018-07-17 10:56:50.919157,2018-07-17 10:56:50.919157
4,Asmara,18,CITY,en,2018-07-17 10:56:50.925132,2018-07-17 10:56:50.925132
5,Addis Ababa,20,CITY,en,2018-07-17 10:56:50.934005,2018-07-17 10:56:50.934005
6,Nairobi,22,CITY,en,2018-07-17 10:56:50.940404,2018-07-17 10:56:50.940404
7,Antananarivo,24,CITY,en,2018-07-17 10:56:50.946402,2018-07-17 10:56:50.946402
8,Lilongwe,26,CITY,en,2018-07-17 10:56:50.952271,2018-07-17 10:56:50.952271
9,Port Louis,28,CITY,en,2018-07-17 10:56:50.958390,2018-07-17 10:56:50.958390
10,Maputo,30,CITY,en,2018-07-17 10:56:50.967768,2018-07-17 10:56:50.967768
11,Kigali,32,CITY,en,2018-07-17 10:56:50.973810,2018-07-17 10:56:50.973810
12,Victoria,34,CITY,en,2018-07-17 10:56:50.979833,2018-07-17 10:56:50.979833
13,Mogadishu,36,CITY,en,2018-07-17 10:56:50.985764,2018-07-17 10:56:50.985764
14,Dodoma,38,CITY,en,2018-07-17 10:56:50.992444,2018-07-17 10:56:50.992444
15,Kampala,40,CITY,en,2018-07-17 10:56:51.001391,2018-07-17 10:56:51.001391
16,Lusaka,42,CITY,en,2018-07-17 10:56:51.007481,2018-07-17 10:56:51.007481
17,Harare,44,CITY,en,2018-07-17 10:56:51.013602,2018-07-17 10:56:51.013602
18,Luanda,46,CITY,en,2018-07-17 10:56:51.019669,2018-07-17 10:56:51.019669
19,Yaoundé,48,CITY,en,2018-07-17 10:56:51.027390,2018-07-17 10:56:51.027390
20,Bangui,50,CITY,en,2018-07-17 10:56:51.035098,2018-07-17 10:56:51.035098
21,N'Djamena,52,CITY,en,2018-07-17 10:56:51.041072,2018-07-17 10:56:51.041072
22,Brazzaville,54,CITY,en,2018-07-17 10:56:51.047130,2018-07-17 10:56:51.047130
23,Kinshasa,56,CITY,en,2018-07-17 10:56:51.053173,2018-07-17 10:56:51.053173
24,Malabo,58,CITY,en,2018-07-17 10:56:51.062377,2018-07-17 10:56:51.062377
25,Libreville,60,CITY,en,2018-07-17 10:56:51.068856,2018-07-17 10:56:51.068856
26,São Tomé,62,CITY,en,2018-07-17 10:56:51.075892,2018-07-17 10:56:51.075892
27,Juba,69,CITY,en,2018-07-17 10:56:51.104079,2018-07-17 10:56:51.104079
28,Khartoum,71,CITY,en,2018-07-17 10:56:51.110059,2018-07-17 10:56:51.110059
29,Gaborone,74,CITY,en,2018-07-17 10:56:51.120672,2018-07-17 10:56:51.120672
30,Maseru,76,CITY,en,2018-07-17 10:56:51.129531,2018-07-17 10:56:51.129531
31,Windhoek,78,CITY,en,2018-07-17 10:56:51.135527,2018-07-17 10:56:51.135527
32,Lobamba,80,CITY,en,2018-07-17 10:56:51.141669,2018-07-17 10:56:51.141669
