id,key,name,synonyms,code,born_at,city_id,state_id,country_id,nationality_id,created_at,updated_at
1,llaurent,L. Laurent,,,,,,,,2018-07-17 10:56:56.467793,2018-07-17 10:56:56.467793
2,langiller,Langiller,,,,,,,,2018-07-17 10:56:56.477977,2018-07-17 10:56:56.477977
3,maschinot,Maschinot,,,,,,,,2018-07-17 10:56:56.480610,2018-07-17 10:56:56.480610
4,carreno,Carreño,,,,,,,,2018-07-17 10:56:56.483097,2018-07-17 10:56:56.483097
5,monti,Monti,,,,,,,,2018-07-17 10:56:56.496962,2018-07-17 10:56:56.496962
6,vidal,Vidal,,,,,,,,2018-07-17 10:56:56.506740,2018-07-17 10:56:56.506740
7,mrosas,M. Rosas,,,,,,,,2018-07-17 10:56:56.509251,2018-07-17 10:56:56.509251
8,subiabre,Subiabre,,,,,,,,2018-07-17 10:56:56.520261,2018-07-17 10:56:56.520261
9,stabile,Stábile,,,,,,,,2018-07-17 10:56:56.535916,2018-07-17 10:56:56.535916
10,zumelzu,Zumelzú,,,,,,,,2018-07-17 10:56:56.538646,2018-07-17 10:56:56.538646
11,varallo,Varallo,,,,,,,,2018-07-17 10:56:56.543714,2018-07-17 10:56:56.543714
12,gayon,Gayón,,,,,,,,2018-07-17 10:56:56.548868,2018-07-17 10:56:56.548868
13,mevaristo,M. Evaristo,,,,,,,,2018-07-17 10:56:56.567801,2018-07-17 10:56:56.567801
14,tirnanic,Tirnanić,,,,,,,,2018-07-17 10:56:56.582618,2018-07-17 10:56:56.582618
15,bek,Bek,,,,,,,,2018-07-17 10:56:56.586481,2018-07-17 10:56:56.586481
16,preguinho,Preguinho,,,,,,,,2018-07-17 10:56:56.591004,2018-07-17 10:56:56.591004
17,marjanovic,Marjanović,,,,,,,,2018-07-17 10:56:56.603853,2018-07-17 10:56:56.603853
18,vujadinovic,Vujadinović,,,,,,,,2018-07-17 10:56:56.607457,2018-07-17 10:56:56.607457
19,moderato,Moderato,,,,,,,,2018-07-17 10:56:56.618782,2018-07-17 10:56:56.618782
20,desu,Deşu,,,,,,,,2018-07-17 10:56:56.635769,2018-07-17 10:56:56.635769
21,souzaferreira,Souza Ferreira,,,,,,,,2018-07-17 10:56:56.638344,2018-07-17 10:56:56.638344
22,stanciu,Stanciu,,,,,,,,2018-07-17 10:56:56.640772,2018-07-17 10:56:56.640772
23,kovacs,Kovács,,,,,,,,2018-07-17 10:56:56.643200,2018-07-17 10:56:56.643200
24,castro,Castro,,,,,,,,2018-07-17 10:56:56.654661,2018-07-17 10:56:56.654661
25,dorado,Dorado,,,,,,,,2018-07-17 10:56:56.666337,2018-07-17 10:56:56.666337
26,scarone,Scarone,,,,,,,,2018-07-17 10:56:56.668930,2018-07-17 10:56:56.668930
27,anselmo,Anselmo,,,,,,,,2018-07-17 10:56:56.671445,2018-07-17 10:56:56.671445
28,cea,Cea,,,,,,,,2018-07-17 10:56:56.673906,2018-07-17 10:56:56.673906
29,mcghee,McGhee,,,,,,,,2018-07-17 10:56:56.686088,2018-07-17 10:56:56.686088
30,florie,Florie,,,,,,,,2018-07-17 10:56:56.690206,2018-07-17 10:56:56.690206
31,patenaude,Patenaude,,,,,,,,2018-07-17 10:56:56.692807,2018-07-17 10:56:56.692807
32,vargaspena,Vargas Peña,,,,,,,,2018-07-17 10:56:56.712495,2018-07-17 10:56:56.712495
33,scopelli,Scopelli,,,,,,,,2018-07-17 10:56:56.729092,2018-07-17 10:56:56.729092
34,peucelle,Peucelle,,,,,,,,2018-07-17 10:56:56.732961,2018-07-17 10:56:56.732961
35,brown,Brown,,,,,,,,2018-07-17 10:56:56.737917,2018-07-17 10:56:56.737917
36,iriarte,Iriarte,,,,,,,,2018-07-17 10:56:56.756945,2018-07-17 10:56:56.756945
37,angelbossio,Ángel Bossio,,,,,,,,2018-07-17 10:56:56.792060,2018-07-17 10:56:56.792060
38,juanbotasso,Juan Botasso,,,,,,,,2018-07-17 10:56:56.798995,2018-07-17 10:56:56.798995
39,rodolfoorlandini,Rodolfo Orlandini,,,,,,,,2018-07-17 10:56:56.800739,2018-07-17 10:56:56.800739
40,albertochividini,Alberto Chividini,,,,,,,,2018-07-17 10:56:56.802454,2018-07-17 10:56:56.802454
41,adolfozumelzu,Adolfo Zumelzú,,,,,,,,2018-07-17 10:56:56.804156,2018-07-17 10:56:56.804156
42,josedellatorre,José Della Torre,,,,,,,,2018-07-17 10:56:56.805845,2018-07-17 10:56:56.805845
43,juanevaristo,Juan Evaristo,,,,,,,,2018-07-17 10:56:56.807551,2018-07-17 10:56:56.807551
44,edmundopiaggio,Edmundo Piaggio,,,,,,,,2018-07-17 10:56:56.809267,2018-07-17 10:56:56.809267
45,ramonmuttis,Ramón Muttis,,,,,,,,2018-07-17 10:56:56.811081,2018-07-17 10:56:56.811081
46,fernandopaternoster,Fernando Paternoster,,,,,,,,2018-07-17 10:56:56.813576,2018-07-17 10:56:56.813576
47,luismonti,Luis Monti,,,,,,,,2018-07-17 10:56:56.816653,2018-07-17 10:56:56.816653
48,pedrosuarez,Pedro Suárez,,,,,,,,2018-07-17 10:56:56.819548,2018-07-17 10:56:56.819548
49,alejandroscopelli,Alejandro Scopelli,,,,,,,,2018-07-17 10:56:56.822018,2018-07-17 10:56:56.822018
50,natalioperinetti,Natalio Perinetti,,,,,,,,2018-07-17 10:56:56.823839,2018-07-17 10:56:56.823839
51,carlospeucelle,Carlos Peucelle,,,,,,,,2018-07-17 10:56:56.825583,2018-07-17 10:56:56.825583
52,marioevaristo,Mario Evaristo,,,,,,,,2018-07-17 10:56:56.827349,2018-07-17 10:56:56.827349
53,manuelferreira,Manuel Ferreira,,,,,,,,2018-07-17 10:56:56.828955,2018-07-17 10:56:56.828955
54,carlosspadaro,Carlos Spadaro,,,,,,,,2018-07-17 10:56:56.830555,2018-07-17 10:56:56.830555
55,guillermostabile,Guillermo Stábile,,,,,,,,2018-07-17 10:56:56.832282,2018-07-17 10:56:56.832282
56,robertocherro,Roberto Cherro,,,,,,,,2018-07-17 10:56:56.833873,2018-07-17 10:56:56.833873
57,franciscovarallo,Francisco Varallo,,,,,,,,2018-07-17 10:56:56.835472,2018-07-17 10:56:56.835472
58,attiliodemaria,Attilio Demaría,,,,,,,,2018-07-17 10:56:56.841901,2018-07-17 10:56:56.841901
59,arnoldbadjou,Arnold Badjou,,,,,,,,2018-07-17 10:56:56.850874,2018-07-17 10:56:56.850874
60,jeandebie,Jean De Bie,,,,,,,,2018-07-17 10:56:56.853861,2018-07-17 10:56:56.853861
61,theodorenouwens,Theodore Nouwens,,,,,,,,2018-07-17 10:56:56.856395,2018-07-17 10:56:56.856395
62,nichoydonckx,Nic Hoydonckx,,,,,,,,2018-07-17 10:56:56.858387,2018-07-17 10:56:56.858387
63,henridedeken,Henri De Deken,,,,,,,,2018-07-17 10:56:56.860150,2018-07-17 10:56:56.860150
64,jeandeclercq,Jean De Clercq,,,,,,,,2018-07-17 10:56:56.861908,2018-07-17 10:56:56.861908
65,pierrebraine,Pierre Braine,,,,,,,,2018-07-17 10:56:56.863634,2018-07-17 10:56:56.863634
66,alexischantraine,Alexis Chantraine,,,,,,,,2018-07-17 10:56:56.865451,2018-07-17 10:56:56.865451
67,augusthellemans,August Hellemans,,,,,,,,2018-07-17 10:56:56.867252,2018-07-17 10:56:56.867252
68,jandiddens,Jan Diddens,,,,,,,,2018-07-17 10:56:56.868951,2018-07-17 10:56:56.868951
69,gerarddelbeke,Gérard Delbeke,,,,,,,,2018-07-17 10:56:56.870671,2018-07-17 10:56:56.870671
70,jacquesmoeschal,Jacques Moeschal,,,,,,,,2018-07-17 10:56:56.872447,2018-07-17 10:56:56.872447
71,ferdinandadams,Ferdinand Adams,,,,,,,,2018-07-17 10:56:56.874133,2018-07-17 10:56:56.874133
72,andresaeys,André Saeys,,,,,,,,2018-07-17 10:56:56.875888,2018-07-17 10:56:56.875888
73,louisversyp,Louis Versyp,,,,,,,,2018-07-17 10:56:56.877707,2018-07-17 10:56:56.877707
74,bernardvoorhoof,Bernard Voorhoof,,,,,,,,2018-07-17 10:56:56.880062,2018-07-17 10:56:56.880062
75,miguelmurillo,Miguel Murillo,,,,,,,,2018-07-17 10:56:56.889607,2018-07-17 10:56:56.889607
76,jesusbermudez,Jesús Bermúdez,,,,,,,,2018-07-17 10:56:56.891564,2018-07-17 10:56:56.891564
77,luisreyespenaranda,Luis Reyes Peñaranda,,,,,,,,2018-07-17 10:56:56.893297,2018-07-17 10:56:56.893297
78,segundodurandal,Segundo Durandal,,,,,,,,2018-07-17 10:56:56.894973,2018-07-17 10:56:56.894973
79,casianochavarria,Casiano Chavarría,,,,,,,,2018-07-17 10:56:56.896629,2018-07-17 10:56:56.896629
80,renatosainz,Renato Sáinz,,,,,,,,2018-07-17 10:56:56.898399,2018-07-17 10:56:56.898399
81,miguelbrito,Miguel Brito,,,,,,,,2018-07-17 10:56:56.900138,2018-07-17 10:56:56.900138
82,juanargote,Juan Argote,,,,,,,,2018-07-17 10:56:56.901787,2018-07-17 10:56:56.901787
83,constantinonoya,Constantino Noya,,,,,,,,2018-07-17 10:56:56.903456,2018-07-17 10:56:56.903456
84,diogeneslara,Diógenes Lara,,,,,,,,2018-07-17 10:56:56.905115,2018-07-17 10:56:56.905115
