id,name,kind,lat,lng,created_at,updated_at
1,Europe,CONT,,,2018-07-17 10:56:50.801843,2018-07-17 10:56:50.801843
2,South America,CONT,,,2018-07-17 10:56:50.804965,2018-07-17 10:56:50.804965
3,North America,CONT,,,2018-07-17 10:56:50.807770,2018-07-17 10:56:50.807770
4,Central America,CONT,,,2018-07-17 10:56:50.810173,2018-07-17 10:56:50.810173
5,Caribbean,CONT,,,2018-07-17 10:56:50.811738,2018-07-17 10:56:50.811738
6,Africa,CONT,,,2018-07-17 10:56:50.813165,2018-07-17 10:56:50.813165
7,Middle East,CONT,,,2018-07-17 10:56:50.814617,2018-07-17 10:56:50.814617
8,Asia,CONT,,,2018-07-17 10:56:50.816132,2018-07-17 10:56:50.816132
9,Pacific,CONT,,,2018-07-17 10:56:50.817532,2018-07-17 10:56:50.817532
10,Antarctica,CONT,,,2018-07-17 10:56:50.818939,2018-07-17 10:56:50.818939
11,Burundi,CNTY,,,2018-07-17 10:56:50.845562,2018-07-17 10:56:50.845562
12,Bujumbura,CITY,,,2018-07-17 10:56:50.865525,2018-07-17 10:56:50.865525
13,Comoros,CNTY,,,2018-07-17 10:56:50.910313,2018-07-17 10:56:50.910313
14,Moroni,CITY,,,2018-07-17 10:56:50.912268,2018-07-17 10:56:50.912268
15,Djibouti,CNTY,,,2018-07-17 10:56:50.916739,2018-07-17 10:56:50.916739
16,Djibouti,CITY,,,2018-07-17 10:56:50.918535,2018-07-17 10:56:50.918535
17,Eritrea,CNTY,,,2018-07-17 10:56:50.922688,2018-07-17 10:56:50.922688
18,Asmara,CITY,,,2018-07-17 10:56:50.924514,2018-07-17 10:56:50.924514
19,Ethiopia,CNTY,,,2018-07-17 10:56:50.930238,2018-07-17 10:56:50.930238
20,Addis Ababa,CITY,,,2018-07-17 10:56:50.933132,2018-07-17 10:56:50.933132
21,Kenya,CNTY,,,2018-07-17 10:56:50.938012,2018-07-17 10:56:50.938012
22,Nairobi,CITY,,,2018-07-17 10:56:50.939808,2018-07-17 10:56:50.939808
23,Madagascar,CNTY,,,2018-07-17 10:56:50.943962,2018-07-17 10:56:50.943962
24,Antananarivo,CITY,,,2018-07-17 10:56:50.945755,2018-07-17 10:56:50.945755
25,Malawi,CNTY,,,2018-07-17 10:56:50.949919,2018-07-17 10:56:50.949919
26,Lilongwe,CITY,,,2018-07-17 10:56:50.951661,2018-07-17 10:56:50.951661
27,Mauritius,CNTY,,,2018-07-17 10:56:50.955792,2018-07-17 10:56:50.955792
28,Port Louis,CITY,,,2018-07-17 10:56:50.957590,2018-07-17 10:56:50.957590
29,Mozambique,CNTY,,,2018-07-17 10:56:50.963884,2018-07-17 10:56:50.963884
30,Maputo,CITY,,,2018-07-17 10:56:50.966781,2018-07-17 10:56:50.966781
31,Rwanda,CNTY,,,2018-07-17 10:56:50.971448,2018-07-17 10:56:50.971448
32,Kigali,CITY,,,2018-07-17 10:56:50.973195,2018-07-17 10:56:50.973195
33,Seychelles,CNTY,,,2018-07-17 10:56:50.977429,2018-07-17 10:56:50.977429
34,Victoria,CITY,,,2018-07-17 10:56:50.979205,2018-07-17 10:56:50.979205
35,Somalia,CNTY,,,2018-07-17 10:56:50.983413,2018-07-17 10:56:50.983413
36,Mogadishu,CITY,,,2018-07-17 10:56:50.985136,2018-07-17 10:56:50.985136
37,Tanzania,CNTY,,,2018-07-17 10:56:50.989371,2018-07-17 10:56:50.989371
38,Dodoma,CITY,,,2018-07-17 10:56:50.991558,2018-07-17 10:56:50.991558
39,Uganda,CNTY,,,2018-07-17 10:56:50.998251,2018-07-17 10:56:50.998251
40,Kampala,CITY,,,2018-07-17 10:56:51.000753,2018-07-17 10:56:51.000753
41,Zambia,CNTY,,,2018-07-17 10:56:51.005039,2018-07-17 10:56:51.005039
42,Lusaka,CITY,,,2018-07-17 10:56:51.006844,2018-07-17 10:56:51.006844
43,Zimbabwe,CNTY,,,2018-07-17 10:56:51.011136,2018-07-17 10:56:51.011136
44,Harare,CITY,,,2018-07-17 10:56:51.012986,2018-07-17 10:56:51.012986
45,Angola,CNTY,,,2018-07-17 10:56:51.017296,2018-07-17 10:56:51.017296
46,Luanda,CITY,,,2018-07-17 10:56:51.019068,2018-07-17 10:56:51.019068
47,Cameroon,CNTY,,,2018-07-17 10:56:51.023468,2018-07-17 10:56:51.023468
48,Yaoundé,CITY,,,2018-07-17 10:56:51.026133,2018-07-17 10:56:51.026133
49,Central African Republic,CNTY,,,2018-07-17 10:56:51.032634,2018-07-17 10:56:51.032634
50,Bangui,CITY,,,2018-07-17 10:56:51.034460,2018-07-17 10:56:51.034460
51,Chad,CNTY,,,2018-07-17 10:56:51.038639,2018-07-17 10:56:51.038639
52,N'Djamena,CITY,,,2018-07-17 10:56:51.040433,2018-07-17 10:56:51.040433
53,Congo,CNTY,,,2018-07-17 10:56:51.044680,2018-07-17 10:56:51.044680
54,Brazzaville,CITY,,,2018-07-17 10:56:51.046491,2018-07-17 10:56:51.046491
55,Congo DR,CNTY,,,2018-07-17 10:56:51.050726,2018-07-17 10:56:51.050726
56,Kinshasa,CITY,,,2018-07-17 10:56:51.052549,2018-07-17 10:56:51.052549
57,Equatorial Guinea,CNTY,,,2018-07-17 10:56:51.058270,2018-07-17 10:56:51.058270
58,Malabo,CITY,,,2018-07-17 10:56:51.061347,2018-07-17 10:56:51.061347
59,Gabon,CNTY,,,2018-07-17 10:56:51.066356,2018-07-17 10:56:51.066356
60,Libreville,CITY,,,2018-07-17 10:56:51.068233,2018-07-17 10:56:51.068233
61,São Tomé and Príncipe,CNTY,,,2018-07-17 10:56:51.072391,2018-07-17 10:56:51.072391
62,São Tomé,CITY,,,2018-07-17 10:56:51.075144,2018-07-17 10:56:51.075144
63,Algeria,CNTY,,,2018-07-17 10:56:51.079496,2018-07-17 10:56:51.079496
64,Egypt,CNTY,,,2018-07-17 10:56:51.083164,2018-07-17 10:56:51.083164
65,Morocco,CNTY,,,2018-07-17 10:56:51.087190,2018-07-17 10:56:51.087190
66,Libya,CNTY,,,2018-07-17 10:56:51.092828,2018-07-17 10:56:51.092828
67,Tunisia,CNTY,,,2018-07-17 10:56:51.098026,2018-07-17 10:56:51.098026
68,South Sudan,CNTY,,,2018-07-17 10:56:51.101671,2018-07-17 10:56:51.101671
69,Juba,CITY,,,2018-07-17 10:56:51.103448,2018-07-17 10:56:51.103448
70,Sudan,CNTY,,,2018-07-17 10:56:51.107699,2018-07-17 10:56:51.107699
71,Khartoum,CITY,,,2018-07-17 10:56:51.109443,2018-07-17 10:56:51.109443
72,South Africa,CNTY,,,2018-07-17 10:56:51.113694,2018-07-17 10:56:51.113694
73,Botswana,CNTY,,,2018-07-17 10:56:51.117396,2018-07-17 10:56:51.117396
74,Gaborone,CITY,,,2018-07-17 10:56:51.119729,2018-07-17 10:56:51.119729
75,Lesotho,CNTY,,,2018-07-17 10:56:51.126668,2018-07-17 10:56:51.126668
76,Maseru,CITY,,,2018-07-17 10:56:51.128902,2018-07-17 10:56:51.128902
77,Namibia,CNTY,,,2018-07-17 10:56:51.133156,2018-07-17 10:56:51.133156
78,Windhoek,CITY,,,2018-07-17 10:56:51.134933,2018-07-17 10:56:51.134933
79,Swaziland,CNTY,,,2018-07-17 10:56:51.139120,2018-07-17 10:56:51.139120
