id,event_id,title,title2,pos,knockout,start_at,end_at,auto,created_at,updated_at
1,1,Matchday 1,,1,f,1930-07-13,1930-07-13,t,2018-07-17 10:56:56.409145,2018-07-17 10:56:56.409145
2,1,Matchday 2,,2,f,1930-07-14,1930-07-14,t,2018-07-17 10:56:56.410664,2018-07-17 10:56:56.410664
3,1,Matchday 3,,3,f,1930-07-15,1930-07-15,t,2018-07-17 10:56:56.411857,2018-07-17 10:56:56.411857
4,1,Matchday 4,,4,f,1930-07-16,1930-07-16,t,2018-07-17 10:56:56.413006,2018-07-17 10:56:56.413006
5,1,Matchday 5,,5,f,1930-07-17,1930-07-17,t,2018-07-17 10:56:56.414067,2018-07-17 10:56:56.414067
6,1,Matchday 6,,6,f,1930-07-18,1930-07-18,t,2018-07-17 10:56:56.415141,2018-07-17 10:56:56.415141
7,1,Matchday 7,,7,f,1930-07-19,1930-07-19,t,2018-07-17 10:56:56.416171,2018-07-17 10:56:56.416171
8,1,Matchday 8,,8,f,1930-07-20,1930-07-20,t,2018-07-17 10:56:56.417233,2018-07-17 10:56:56.417233
9,1,Matchday 9,,9,f,1930-07-21,1930-07-21,t,2018-07-17 10:56:56.418317,2018-07-17 10:56:56.418317
10,1,Matchday 10,,10,f,1930-07-22,1930-07-22,t,2018-07-17 10:56:56.419398,2018-07-17 10:56:56.419398
11,1,Semi-finals,,11,t,1930-07-26,1930-07-27,t,2018-07-17 10:56:56.420464,2018-07-17 10:56:56.420464
12,1,Final,,12,t,1930-07-30,1930-07-30,t,2018-07-17 10:56:56.421574,2018-07-17 10:56:56.421574
13,2,Preliminary round,,1,f,1934-05-27,1934-05-27,t,2018-07-17 10:56:57.402546,2018-07-17 10:56:57.748742
14,2,Quarter-finals,,2,t,1934-05-31,1934-05-31,t,2018-07-17 10:56:57.604350,2018-07-17 10:56:57.752062
15,2,Quarter-finals replays,,3,t,1934-06-01,1934-06-01,t,2018-07-17 10:56:57.672075,2018-07-17 10:56:57.754358
16,2,Semi-finals,,4,t,1934-06-03,1934-06-03,t,2018-07-17 10:56:57.681426,2018-07-17 10:56:57.756492
17,2,Third-place match,,5,t,1934-06-07,1934-06-07,t,2018-07-17 10:56:57.708095,2018-07-17 10:56:57.758269
18,2,Final,,6,t,1934-06-10,1934-06-10,t,2018-07-17 10:56:57.733445,2018-07-17 10:56:57.760074
19,3,First round,,1,f,1938-06-04,1938-06-05,t,2018-07-17 10:56:57.789414,2018-07-17 10:56:58.141530
20,3,First round replays,,2,f,1938-06-09,1938-06-09,t,2018-07-17 10:56:57.936152,2018-07-17 10:56:58.144189
21,3,Quarter-finals,,3,t,1938-06-12,1938-06-12,t,2018-07-17 10:56:57.981820,2018-07-17 10:56:58.146112
22,3,Quarter-finals replays,,4,t,1938-06-14,1938-06-14,t,2018-07-17 10:56:58.053411,2018-07-17 10:56:58.147974
23,3,Semi-finals,,5,t,1938-06-16,1938-06-16,t,2018-07-17 10:56:58.067220,2018-07-17 10:56:58.149840
24,3,Match for third place,,6,t,1938-06-19,1938-06-19,t,2018-07-17 10:56:58.100389,2018-07-17 10:56:58.151657
25,3,Final,,7,t,1938-06-19,1938-06-19,t,2018-07-17 10:56:58.120204,2018-07-17 10:56:58.153396
26,4,Matchday 1,,1,f,1950-06-24,1950-06-24,t,2018-07-17 10:56:58.231006,2018-07-17 10:56:58.772980
27,4,Matchday 2,,2,f,1950-06-25,1950-06-25,t,2018-07-17 10:56:58.271435,2018-07-17 10:56:58.773817
28,4,Matchday 3,,3,f,1950-06-28,1950-06-28,t,2018-07-17 10:56:58.308612,2018-07-17 10:56:58.774652
29,4,Matchday 5,,5,f,1950-07-01,1950-07-01,t,2018-07-17 10:56:58.371574,2018-07-17 10:56:58.776214
30,4,Matchday 6,,6,f,1950-07-02,1950-07-02,t,2018-07-17 10:56:58.407844,2018-07-17 10:56:58.777013
31,4,Matchday 4,,4,f,1950-06-29,1950-06-29,t,2018-07-17 10:56:58.486446,2018-07-17 10:56:58.775428
32,4,Final Round,,7,t,1950-07-09,1950-07-16,t,2018-07-17 10:56:58.652549,2018-07-17 10:56:58.780873
33,5,Matchday 1,,1,f,1954-06-16,1954-06-16,t,2018-07-17 10:56:58.872344,2018-07-17 10:56:59.082944
34,5,Matchday 3,,3,f,1954-06-19,1954-06-19,t,2018-07-17 10:56:58.904491,2018-07-17 10:56:59.084486
35,5,Matchday 2,,2,f,1954-06-17,1954-06-17,t,2018-07-17 10:56:58.937548,2018-07-17 10:56:59.083750
36,5,Matchday 4,,4,f,1954-06-20,1954-06-20,t,2018-07-17 10:56:58.970568,2018-07-17 10:56:59.085238
37,5,Group-2 Play-off,,5,t,1954-06-23,1954-06-23,t,2018-07-17 10:56:58.978086,2018-07-17 10:56:59.085968
38,5,Group-4 Play-off,,6,t,1954-06-23,1954-06-23,t,2018-07-17 10:56:59.028179,2018-07-17 10:56:59.086709
39,5,Quarter-finals,,7,t,1954-06-26,1954-06-27,t,2018-07-17 10:56:59.036652,2018-07-17 10:56:59.087421
40,5,Semi-finals,,8,t,1954-06-30,1954-06-30,t,2018-07-17 10:56:59.050654,2018-07-17 10:56:59.088116
41,5,Third-place match,,9,t,1954-07-03,1954-07-03,t,2018-07-17 10:56:59.062182,2018-07-17 10:56:59.088867
42,5,Final,,10,t,1954-07-04,1954-07-04,t,2018-07-17 10:56:59.066649,2018-07-17 10:56:59.089566
43,6,Matchday 1,,1,f,1958-06-08,1958-06-08,t,2018-07-17 10:56:59.190155,2018-07-17 10:56:59.475138
44,6,Matchday 2,,2,f,1958-06-11,1958-06-11,t,2018-07-17 10:56:59.228971,2018-07-17 10:56:59.475976
45,6,Matchday 4,,4,f,1958-06-15,1958-06-15,t,2018-07-17 10:56:59.268704,2018-07-17 10:56:59.477562
46,6,Group-1 Play-off,,5,t,1958-06-17,1958-06-17,t,2018-07-17 10:56:59.276336,2018-07-17 10:56:59.478309
47,6,Matchday 3,,3,f,1958-06-12,1958-06-12,t,2018-07-17 10:56:59.366558,2018-07-17 10:56:59.476783
48,6,Group-3 Play-off,,6,t,1958-06-17,1958-06-17,t,2018-07-17 10:56:59.378709,2018-07-17 10:56:59.479054
49,6,Group-4 Play-off,,7,t,1958-06-17,1958-06-17,t,2018-07-17 10:56:59.417269,2018-07-17 10:56:59.479797
50,6,Quarter-finals,,8,t,1958-06-19,1958-06-19,t,2018-07-17 10:56:59.424171,2018-07-17 10:56:59.480544
51,6,Semi-finals,,9,t,1958-06-24,1958-06-24,t,2018-07-17 10:56:59.440133,2018-07-17 10:56:59.481315
52,6,Match for third place,,10,t,1958-06-28,1958-06-28,t,2018-07-17 10:56:59.450640,2018-07-17 10:56:59.482052
53,6,Final,,11,t,1958-06-29,1958-06-29,t,2018-07-17 10:56:59.456632,2018-07-17 10:56:59.482794
54,7,Matchday 1,,1,f,1962-05-30,1962-05-30,t,2018-07-17 10:56:59.592762,2018-07-17 10:56:59.967583
55,7,Matchday 2,,2,f,1962-05-31,1962-05-31,t,2018-07-17 10:56:59.632550,2018-07-17 10:56:59.968350
56,7,Matchday 3,,3,f,1962-06-02,1962-06-02,t,2018-07-17 10:56:59.672976,2018-07-17 10:56:59.969114
57,7,Matchday 4,,4,f,1962-06-03,1962-06-03,t,2018-07-17 10:56:59.717998,2018-07-17 10:56:59.969883
58,7,Matchday 5,,5,f,1962-06-06,1962-06-06,t,2018-07-17 10:56:59.760215,2018-07-17 10:56:59.970712
59,7,Matchday 6,,6,f,1962-06-07,1962-06-07,t,2018-07-17 10:56:59.807377,2018-07-17 10:56:59.971449
60,7,Quarter-finals,,7,t,1962-06-10,1962-06-10,t,2018-07-17 10:56:59.922758,2018-07-17 10:56:59.972214
61,7,Semi-finals,,8,t,1962-06-13,1962-06-13,t,2018-07-17 10:56:59.937421,2018-07-17 10:56:59.972925
62,7,Third-place match,,9,t,1962-06-16,1962-06-16,t,2018-07-17 10:56:59.949493,2018-07-17 10:56:59.973608
63,7,Final,,10,t,1962-06-17,1962-06-17,t,2018-07-17 10:56:59.954723,2018-07-17 10:56:59.974315
64,8,Matchday 1,,1,f,1966-07-11,1966-07-11,t,2018-07-17 10:57:00.092193,2018-07-17 10:57:00.525483
65,8,Matchday 3,,3,f,1966-07-13,1966-07-13,t,2018-07-17 10:57:00.140043,2018-07-17 10:57:00.527091
66,8,Matchday 4,,4,f,1966-07-15,1966-07-15,t,2018-07-17 10:57:00.187685,2018-07-17 10:57:00.527875
67,8,Matchday 5,,5,f,1966-07-16,1966-07-16,t,2018-07-17 10:57:00.235054,2018-07-17 10:57:00.528640
68,8,Matchday 6,,6,f,1966-07-19,1966-07-19,t,2018-07-17 10:57:00.286847,2018-07-17 10:57:00.529403
69,8,Matchday 7,,7,f,1966-07-20,1966-07-20,t,2018-07-17 10:57:00.339388,2018-07-17 10:57:00.530221
70,8,Matchday 2,,2,f,1966-07-12,1966-07-12,t,2018-07-17 10:57:00.389174,2018-07-17 10:57:00.526306
71,8,Quarter-finals,,8,t,1966-07-23,1966-07-23,t,2018-07-17 10:57:00.481548,2018-07-17 10:57:00.531085
72,8,Semi-finals,,9,t,1966-07-25,1966-07-26,t,2018-07-17 10:57:00.496068,2018-07-17 10:57:00.531883
73,8,Third-place match,,10,t,1966-07-28,1966-07-28,t,2018-07-17 10:57:00.507151,2018-07-17 10:57:00.535934
74,8,Final,,11,t,1966-07-30,1966-07-30,t,2018-07-17 10:57:00.512165,2018-07-17 10:57:00.536799
