id,key,title,created_at,updated_at
1,2020/21,2020/21,2018-07-17 10:56:50.725782,2018-07-17 10:56:50.725782
2,2019/20,2019/20,2018-07-17 10:56:50.726824,2018-07-17 10:56:50.726824
3,2018/19,2018/19,2018-07-17 10:56:50.727697,2018-07-17 10:56:50.727697
4,2017/18,2017/18,2018-07-17 10:56:50.728805,2018-07-17 10:56:50.728805
5,2016/17,2016/17,2018-07-17 10:56:50.729945,2018-07-17 10:56:50.729945
6,2015/16,2015/16,2018-07-17 10:56:50.731504,2018-07-17 10:56:50.731504
7,2014/15,2014/15,2018-07-17 10:56:50.733332,2018-07-17 10:56:50.733332
8,2013/14,2013/14,2018-07-17 10:56:50.734715,2018-07-17 10:56:50.734715
9,2012/13,2012/13,2018-07-17 10:56:50.735755,2018-07-17 10:56:50.735755
10,2011/12,2011/12,2018-07-17 10:56:50.736867,2018-07-17 10:56:50.736867
11,2010/11,2010/11,2018-07-17 10:56:50.737766,2018-07-17 10:56:50.737766
12,2009/10,2009/10,2018-07-17 10:56:50.738557,2018-07-17 10:56:50.738557
13,2008/09,2008/09,2018-07-17 10:56:50.739269,2018-07-17 10:56:50.739269
14,2007/08,2007/08,2018-07-17 10:56:50.739969,2018-07-17 10:56:50.739969
15,2006/07,2006/07,2018-07-17 10:56:50.740696,2018-07-17 10:56:50.740696
16,2005/06,2005/06,2018-07-17 10:56:50.741410,2018-07-17 10:56:50.741410
17,2004/05,2004/05,2018-07-17 10:56:50.742390,2018-07-17 10:56:50.742390
18,2003/04,2003/04,2018-07-17 10:56:50.743224,2018-07-17 10:56:50.743224
19,2002/03,2002/03,2018-07-17 10:56:50.743930,2018-07-17 10:56:50.743930
20,2001/02,2001/02,2018-07-17 10:56:50.744657,2018-07-17 10:56:50.744657
21,2000/01,2000/01,2018-07-17 10:56:50.745365,2018-07-17 10:56:50.745365
22,2022,2022,2018-07-17 10:56:50.746077,2018-07-17 10:56:50.746077
23,2021,2021,2018-07-17 10:56:50.746835,2018-07-17 10:56:50.746835
24,2020,2020,2018-07-17 10:56:50.747541,2018-07-17 10:56:50.747541
25,2019,2019,2018-07-17 10:56:50.748376,2018-07-17 10:56:50.748376
26,2018,2018,2018-07-17 10:56:50.749085,2018-07-17 10:56:50.749085
27,2017,2017,2018-07-17 10:56:50.749796,2018-07-17 10:56:50.749796
28,2016,2016,2018-07-17 10:56:50.750569,2018-07-17 10:56:50.750569
29,2015,2015,2018-07-17 10:56:50.751301,2018-07-17 10:56:50.751301
30,2014,2014,2018-07-17 10:56:50.752012,2018-07-17 10:56:50.752012
31,2013,2013,2018-07-17 10:56:50.752733,2018-07-17 10:56:50.752733
32,2012,2012,2018-07-17 10:56:50.753450,2018-07-17 10:56:50.753450
33,2011,2011,2018-07-17 10:56:50.754182,2018-07-17 10:56:50.754182
34,2010,2010,2018-07-17 10:56:50.754966,2018-07-17 10:56:50.754966
35,2009,2009,2018-07-17 10:56:50.755680,2018-07-17 10:56:50.755680
36,2008,2008,2018-07-17 10:56:50.756410,2018-07-17 10:56:50.756410
37,2007,2007,2018-07-17 10:56:50.757116,2018-07-17 10:56:50.757116
38,2006,2006,2018-07-17 10:56:50.757826,2018-07-17 10:56:50.757826
39,2005,2005,2018-07-17 10:56:50.758584,2018-07-17 10:56:50.758584
40,2004,2004,2018-07-17 10:56:50.759339,2018-07-17 10:56:50.759339
41,2003,2003,2018-07-17 10:56:50.760054,2018-07-17 10:56:50.760054
42,2002,2002,2018-07-17 10:56:50.760750,2018-07-17 10:56:50.760750
43,2001,2001,2018-07-17 10:56:50.761487,2018-07-17 10:56:50.761487
44,2000,2000,2018-07-17 10:56:50.762241,2018-07-17 10:56:50.762241
45,2015.1,2015.1,2018-07-17 10:56:50.762990,2018-07-17 10:56:50.762990
46,2015.2,2015.2,2018-07-17 10:56:50.763707,2018-07-17 10:56:50.763707
47,2014.1,2014.1,2018-07-17 10:56:50.764434,2018-07-17 10:56:50.764434
48,2014.2,2014.2,2018-07-17 10:56:50.765142,2018-07-17 10:56:50.765142
49,2013.1,2013.1,2018-07-17 10:56:50.765858,2018-07-17 10:56:50.765858
50,2013.2,2013.2,2018-07-17 10:56:50.766625,2018-07-17 10:56:50.766625
51,2012.1,2012.1,2018-07-17 10:56:50.767351,2018-07-17 10:56:50.767351
52,2012.2,2012.2,2018-07-17 10:56:50.768064,2018-07-17 10:56:50.768064
53,2011.1,2011.1,2018-07-17 10:56:50.768766,2018-07-17 10:56:50.768766
54,2011.2,2011.2,2018-07-17 10:56:50.769499,2018-07-17 10:56:50.769499
55,2010.1,2010.1,2018-07-17 10:56:50.770275,2018-07-17 10:56:50.770275
56,2010.2,2010.2,2018-07-17 10:56:50.771007,2018-07-17 10:56:50.771007
57,1930,1930,2018-07-17 10:56:56.288086,2018-07-17 10:56:56.288086
58,1934,1934,2018-07-17 10:56:56.289061,2018-07-17 10:56:56.289061
59,1938,1938,2018-07-17 10:56:56.289901,2018-07-17 10:56:56.289901
60,1950,1950,2018-07-17 10:56:56.290704,2018-07-17 10:56:56.290704
61,1954,1954,2018-07-17 10:56:56.291543,2018-07-17 10:56:56.291543
62,1958,1958,2018-07-17 10:56:56.292993,2018-07-17 10:56:56.292993
63,1962,1962,2018-07-17 10:56:56.294162,2018-07-17 10:56:56.294162
64,1966,1966,2018-07-17 10:56:56.294958,2018-07-17 10:56:56.294958
65,1970,1970,2018-07-17 10:56:56.295717,2018-07-17 10:56:56.295717
66,1974,1974,2018-07-17 10:56:56.296473,2018-07-17 10:56:56.296473
67,1978,1978,2018-07-17 10:56:56.297263,2018-07-17 10:56:56.297263
68,1982,1982,2018-07-17 10:56:56.298133,2018-07-17 10:56:56.298133
69,1986,1986,2018-07-17 10:56:56.298949,2018-07-17 10:56:56.298949
70,1990,1990,2018-07-17 10:56:56.299707,2018-07-17 10:56:56.299707
