id,key,title,title2,code,synonyms,country_id,city_id,club,since,address,web,assoc_id,national,created_at,updated_at
1,alg,Algeria,,ALG,,27,,f,,,,,f,2018-07-17 10:56:55.941630,2018-07-17 10:56:55.941630
2,egy,Egypt,,EGY,,28,,f,,,,,f,2018-07-17 10:56:55.943245,2018-07-17 10:56:55.943245
3,mar,Morocco,,MAR,,29,,f,,,,,f,2018-07-17 10:56:55.944463,2018-07-17 10:56:55.944463
4,lby,Libya,,LBY,,30,,f,,,,,f,2018-07-17 10:56:55.945668,2018-07-17 10:56:55.945668
5,tun,Tunisia,,TUN,,31,,f,,,,,f,2018-07-17 10:56:55.946853,2018-07-17 10:56:55.946853
6,cpv,Cape Verde,,CPV,,41,,f,,,,,f,2018-07-17 10:56:55.948157,2018-07-17 10:56:55.948157
7,gam,Gambia,,GAM,,43,,f,,,,,f,2018-07-17 10:56:55.949413,2018-07-17 10:56:55.949413
8,gui,Guinea,,GUI,,45,,f,,,,,f,2018-07-17 10:56:55.950626,2018-07-17 10:56:55.950626
9,gnb,Guinea-Bissau,,GNB,Guinea Bissau,46,,f,,,,,f,2018-07-17 10:56:55.951894,2018-07-17 10:56:55.951894
10,lbr,Liberia,,LBR,,47,,f,,,,,f,2018-07-17 10:56:55.953102,2018-07-17 10:56:55.953102
11,mli,Mali,,MLI,,48,,f,,,,,f,2018-07-17 10:56:55.954316,2018-07-17 10:56:55.954316
12,mtn,Mauritania,,MTN,,49,,f,,,,,f,2018-07-17 10:56:55.955601,2018-07-17 10:56:55.955601
13,sen,Senegal,,SEN,,52,,f,,,,,f,2018-07-17 10:56:55.956820,2018-07-17 10:56:55.956820
14,sle,Sierra Leone,,SLE,,53,,f,,,,,f,2018-07-17 10:56:55.958007,2018-07-17 10:56:55.958007
15,ben,Benin,,BEN,,39,,f,,,,,f,2018-07-17 10:56:55.959224,2018-07-17 10:56:55.959224
16,bfa,Burkina Faso,,BFA,,40,,f,,,,,f,2018-07-17 10:56:55.960388,2018-07-17 10:56:55.960388
17,civ,Côte d'Ivoire,,CIV,,42,,f,,,,,f,2018-07-17 10:56:55.961585,2018-07-17 10:56:55.961585
18,gha,Ghana,,GHA,,44,,f,,,,,f,2018-07-17 10:56:55.962881,2018-07-17 10:56:55.962881
19,nig,Niger,,NIG,,50,,f,,,,,f,2018-07-17 10:56:55.964101,2018-07-17 10:56:55.964101
20,nga,Nigeria,,NGA,,51,,f,,,,,f,2018-07-17 10:56:55.965287,2018-07-17 10:56:55.965287
21,tog,Togo,,TOG,,54,,f,,,,,f,2018-07-17 10:56:55.966472,2018-07-17 10:56:55.966472
22,cmr,Cameroon,,CMR,,19,,f,,,,,f,2018-07-17 10:56:55.967662,2018-07-17 10:56:55.967662
23,cta,Central African Republic,,CTA,C. Afr. Rep.,20,,f,,,,,f,2018-07-17 10:56:55.968872,2018-07-17 10:56:55.968872
24,cha,Chad,,CHA,,21,,f,,,,,f,2018-07-17 10:56:55.970134,2018-07-17 10:56:55.970134
25,cgo,Congo,,CGO,Congo-Brazzaville|Congo-Brazz.,22,,f,,,,,f,2018-07-17 10:56:55.971401,2018-07-17 10:56:55.971401
26,cod,Congo DR,,COD,Congo-Kinshasa|Congo-Kinsh.,23,,f,,,,,f,2018-07-17 10:56:55.972596,2018-07-17 10:56:55.972596
27,eqg,Equatorial Guinea,,EQG,Equat. Guinea,24,,f,,,,,f,2018-07-17 10:56:55.973821,2018-07-17 10:56:55.973821
28,gab,Gabon,,GAB,,25,,f,,,,,f,2018-07-17 10:56:55.975114,2018-07-17 10:56:55.975114
29,stp,São Tomé and Príncipe,,STP,São Tomé e Príncipe|São Tomé/Pr.,26,,f,,,,,f,2018-07-17 10:56:55.976377,2018-07-17 10:56:55.976377
30,bdi,Burundi,,BDI,,1,,f,,,,,f,2018-07-17 10:56:55.977574,2018-07-17 10:56:55.977574
31,dji,Djibouti,,DJI,,3,,f,,,,,f,2018-07-17 10:56:55.978771,2018-07-17 10:56:55.978771
32,eri,Eritrea,,ERI,,4,,f,,,,,f,2018-07-17 10:56:55.979950,2018-07-17 10:56:55.979950
33,eth,Ethiopia,,ETH,,5,,f,,,,,f,2018-07-17 10:56:55.981152,2018-07-17 10:56:55.981152
34,ken,Kenya,,KEN,,6,,f,,,,,f,2018-07-17 10:56:55.982326,2018-07-17 10:56:55.982326
35,rwa,Rwanda,,RWA,,11,,f,,,,,f,2018-07-17 10:56:55.983538,2018-07-17 10:56:55.983538
36,som,Somalia,,SOM,,13,,f,,,,,f,2018-07-17 10:56:55.984709,2018-07-17 10:56:55.984709
37,ssd,South Sudan,,SSD,,32,,f,,,,,f,2018-07-17 10:56:55.985939,2018-07-17 10:56:55.985939
38,sdn,Sudan,,SDN,,33,,f,,,,,f,2018-07-17 10:56:55.987157,2018-07-17 10:56:55.987157
39,tan,Tanzania,,TAN,,14,,f,,,,,f,2018-07-17 10:56:55.988332,2018-07-17 10:56:55.988332
40,uga,Uganda,,UGA,,15,,f,,,,,f,2018-07-17 10:56:55.989496,2018-07-17 10:56:55.989496
41,zan,Zanzibar,,ZAN,,14,,f,,,,,f,2018-07-17 10:56:55.990719,2018-07-17 10:56:55.990719
42,ang,Angola,,ANG,,18,,f,,,,,f,2018-07-17 10:56:55.991920,2018-07-17 10:56:55.991920
43,bot,Botswana,,BOT,,35,,f,,,,,f,2018-07-17 10:56:55.993124,2018-07-17 10:56:55.993124
44,com,Comoros,,COM,,2,,f,,,,,f,2018-07-17 10:56:55.994332,2018-07-17 10:56:55.994332
45,les,Lesotho,,LES,,36,,f,,,,,f,2018-07-17 10:56:55.995534,2018-07-17 10:56:55.995534
46,mri,Mauritius,,MRI,,9,,f,,,,,f,2018-07-17 10:56:55.996750,2018-07-17 10:56:55.996750
47,mad,Madagascar,,MAD,,7,,f,,,,,f,2018-07-17 10:56:55.997950,2018-07-17 10:56:55.997950
48,mwi,Malawi,,MWI,,8,,f,,,,,f,2018-07-17 10:56:55.999172,2018-07-17 10:56:55.999172
49,moz,Mozambique,,MOZ,,10,,f,,,,,f,2018-07-17 10:56:56.000375,2018-07-17 10:56:56.000375
50,nam,Namibia,,NAM,,37,,f,,,,,f,2018-07-17 10:56:56.001580,2018-07-17 10:56:56.001580
51,sey,Seychelles,,SEY,,12,,f,,,,,f,2018-07-17 10:56:56.002788,2018-07-17 10:56:56.002788
52,rsa,South Africa,,RSA,,34,,f,,,,,f,2018-07-17 10:56:56.004024,2018-07-17 10:56:56.004024
53,swz,Swaziland,,SWZ,,38,,f,,,,,f,2018-07-17 10:56:56.005246,2018-07-17 10:56:56.005246
54,zam,Zambia,,ZAM,,16,,f,,,,,f,2018-07-17 10:56:56.006454,2018-07-17 10:56:56.006454
55,zim,Zimbabwe,,ZIM,,17,,f,,,,,f,2018-07-17 10:56:56.007686,2018-07-17 10:56:56.007686
56,reu,Réunion,,REU,,200,,f,,,,,f,2018-07-17 10:56:56.008889,2018-07-17 10:56:56.008889
57,kaz,Kazakhstan,,KAZ,,56,,f,,,,,f,2018-07-17 10:56:56.011011,2018-07-17 10:56:56.011011
